Time.y;nonCondensing.T_Out;nonCondensing.T_Inlet;nonCondensing.Qdot_Environment;nonCondensing.Qdot_in;nonCondensing.Qdot_Delivered;nonCondensing.mdot_water;nonCondensing.T_amb;nonCondensing.ControlConstant
303.858;10.9875;10.69;-199.591;0;400.2;0.321086;25.4792;0
306.837;10.9665;10.6868;-199.483;0;376.229;0.321078;25.4401;0
309.816;10.932;10.6457;-200.819;0;385.135;0.321072;25.5103;0
312.795;10.8944;10.5517;-201.333;0;461.042;0.321068;25.5107;0
315.774;10.8639;10.507;-202.18;0;480.061;0.321065;25.5276;0
318.753;10.835;10.5029;-202.614;0;446.722;0.321064;25.5158;0
321.732;10.7946;10.4617;-203.227;0;447.741;0.321064;25.5243;0
324.711;10.7449;10.3372;-203.845;0;548.383;0.321064;25.5183;0
327.69;10.7007;10.3327;-204.841;0;495.093;0.321066;25.5387;0
330.669;10.6607;10.34;-205.494;0;431.482;0.321068;25.5442;0
333.648;10.6105;10.317;-206.097;0;394.941;0.321068;25.5559;0
336.627;10.5584;10.2425;-206.194;0;424.916;0.321067;25.5287;0
339.606;10.5208;10.2103;-207.184;0;417.622;0.321065;25.5664;0
342.585;10.4944;10.18;-207.464;0;422.997;0.321063;25.5515;0
345.564;10.4649;10.18;-207.791;0;383.311;0.321062;25.5434;0
348.543;10.4286;10.1756;-208.246;0;340.408;0.32106;25.5517;0
351.522;10.3919;10.1664;-208.393;0;303.393;0.321059;25.5432;0
354.501;10.3635;10.19;-208.641;0;233.329;0.321057;25.5519;0
357.48;10.3455;10.188;-208.441;0;211.807;0.321055;25.535;0
360.459;10.3359;10.18;-208.215;0;209.76;0.321054;25.5179;0
363.438;10.3333;10.18;-208.34;0;206.27;0.321052;25.5272;0
366.417;10.3352;10.18;-208.171;0;208.739;0.321052;25.515;0
369.396;10.337;10.1817;-208.174;0;208.902;0.321052;25.515;0
372.375;10.3369;10.1916;-208.162;0;195.372;0.321052;25.515;0
375.354;10.3361;10.1937;-208.165;0;191.575;0.321052;25.5174;0
378.333;10.3363;10.1419;-208.316;0;261.481;0.321052;25.5255;0
381.312;10.3375;10.04;-208.296;0;400.225;0.321052;25.5022;0
384.291;10.3366;10.0373;-208.929;0;402.621;0.321052;25.5171;0
387.27;10.3237;10.02;-209.518;0;408.504;0.321052;25.5274;0
390.249;10.2919;10.0077;-209.538;0;382.311;0.321052;25.4989;0
393.228;10.2517;9.90957;-208.963;0;460.182;0.321052;25.4217;0
396.207;10.2165;9.83109;-209.737;0;518.44;0.321052;25.4317;0
399.186;10.1864;9.84102;-210.053;0;464.643;0.321052;25.4086;0
402.165;10.1481;9.84621;-210.926;0;406.045;0.321052;25.4357;0
405.144;10.0975;9.80912;-210.743;0;387.968;0.321052;25.3915;0
408.123;10.051;9.7903;-210.592;0;350.642;0.321052;25.3554;0
411.102;10.0201;9.68;-211.136;0;457.444;0.321052;25.3633;0
414.081;9.99866;9.67933;-212.207;0;429.569;0.321052;25.4037;0
417.06;9.9743;9.67;-212.411;0;409.344;0.321052;25.3844;0
420.039;9.93773;9.66947;-212.691;0;360.864;0.321052;25.3763;0
423.018;9.8963;9.66092;-213.282;0;316.642;0.321052;25.3989;0
425.997;9.86326;9.68078;-213.141;0;245.472;0.321052;25.3775;0
428.976;9.84346;9.69681;-214.01;0;197.269;0.321052;25.44;0
431.955;9.83389;9.59925;-214.103;0;315.632;0.321052;25.44;0
434.934;9.83142;9.56875;-214.375;0;353.349;0.321052;25.4403;0
437.913;9.83044;9.5;-214.99;0;444.507;0.321052;25.455;0
440.892;9.81781;9.5;-215.484;0;427.514;0.321051;25.455;0
443.871;9.78767;9.5;-215.916;0;386.471;0.320633;25.455;0
446.85;9.7473;9.5;-216.303;0;330.068;0.318547;25.4599;0
449.829;9.70965;9.51966;-216.203;0;250.53;0.314708;25.4403;0
452.808;9.68482;9.52;-216.833;0;213.467;0.309115;25.4839;0
455.787;9.67468;9.47156;-216.616;0;256.606;0.3015;25.4656;0
458.766;9.67444;9.50847;-216.122;0;202.762;0.291578;25.4265;0
461.745;9.6786;9.47181;-217.084;0;241.961;0.279246;25.4966;0
