Time, Gas, T_N10
1590, 16.46874999, 52.74
1593, 16.46874999, 52.72
1596, 27.44791666, 52.73
1599, 16.46874999, 52.77
1602, 16.46874999, 52.72
1605, 27.44791666, 52.75
1608, 27.44791666, 52.66
1611, 16.46874999, 52.73
1614, 16.46874999, 52.74
1617, 27.44791666, 52.73
1620, 27.44791666, 52.35
1623, 16.46874999, 50.29
1625.995, 16.46874999, 47.64
1628.995, 16.46874999, 45.14
1632, 27.44791666, 42.72
1635, 27.44791666, 40.57
1637.87, 16.46874999, 38.66
1641, 16.46874999, 37
1644, 16.46874999, 35.48
1646.87, 16.46874999, 34.15
1650, 16.46874999, 32.89
1653, 27.44791666, 31.83
1656, 27.44791666, 30.86
1659, 27.44791666, 29.96
1662, 16.46874999, 29.22
1665, 16.46874999, 28.52
1668, 16.46874999, 27.85
1671, 16.46874999, 27.24
1674, 16.46874999, 26.72
1677, 27.44791666, 26.24
1680, 16.46874999, 25.87
1683, 27.44791666, 25.51
1685.995, 16.46874999, 25.1
1688.995, 16.46874999, 24.87
1692, 27.44791666, 24.62
1695, 27.44791666, 24.41
1698, 27.44791666, 24.1
1701, 27.44791666, 23.89
1704, 16.46874999, 23.62
1707, 27.44791666, 23.48
1710, 16.46874999, 23.33
1713, 27.44791666, 23.16
1716, 16.46874999, 22.94
1719, 27.44791666, 22.85
1722, 16.46874999, 22.7
1725, 27.44791666, 22.64
1728, 16.46874999, 22.52
1731, 16.46874999, 22.36
1734, 16.46874999, 22.25
1737, 16.46874999, 22.08
1740, 27.44791666, 22.07
1743, 27.44791666, 21.94
1745.995, 16.46874999, 21.79
1748.995, 16.46874999, 21.7
1752, 27.44791666, 21.65
1755, 16.46874999, 21.51
1758, 16.46874999, 21.37
1761, 16.46874999, 21.22
1764, 16.46874999, 21.22
1767, 16.46874999, 21.11
1770, 27.44791666, 21.02
1773, 16.46874999, 20.93
1776, 16.46874999, 20.85
1779, 16.46874999, 20.74
1782, 16.46874999, 20.55
1785, 16.46874999, 20.37
1788, 16.46874999, 20.22
1790.87, 16.46874999, 19.94
1794, 27.44791666, 19.72
1797, 16.46874999, 19.45
1800, 16.46874999, 19.2
1803, 16.46874999, 18.93
1805.995, 16.46874999, 18.63
1808.995, 16.46874999, 18.3
1812, 27.44791666, 18.08
1815, 16.46874999, 17.83
1818, 16.46874999, 17.55
1821, 16.46874999, 17.28
1824, 16.46874999, 17.03
1827, 16.46874999, 16.8
1830, 16.46874999, 16.59
1833, 27.44791666, 16.31
1836, 16.46874999, 15.96
1839, 16.46874999, 15.78
1842, 27.44791666, 15.53
1845, 16.46874999, 15.27
1848, 16.46874999, 15.01
1851, 27.44791666, 14.75
1854, 16.46874999, 14.58
1857, 16.46874999, 14.3
1860, 16.46874999, 14.15
1863, 16.46874999, 13.99
1865.995, 16.46874999, 13.85
1868.995, 16.46874999, 13.71
1872, 16.46874999, 13.61
1875, 16.46874999, 13.45
1878, 16.46874999, 13.26
1881, 27.44791666, 13.18
1884, 27.44791666, 13.03
1887, 16.46874999, 12.89
1890, 27.44791666, 12.74
1893, 16.46874999, 12.69
1896, 16.46874999, 12.64
1899, 16.46874999, 12.44
1902, 16.46874999, 12.44
1905, 16.46874999, 12.3
1908, 16.46874999, 12.22
1911, 27.44791666, 12.16
1914, 16.46874999, 12.15
1917, 27.44791666, 12.05
1920, 27.44791666, 11.94
1922.87, 27.44791666, 11.94
1925.87, 16.46874999, 11.94
1928.995, 16.46874999, 11.84
1932, 16.46874999, 11.78
1935, 16.46874999, 11.79
1938, 16.46874999, 11.8
1941, 16.46874999, 11.71
1944, 16.46874999, 11.71
1947, 27.44791666, 11.66
1950, 16.46874999, 11.62
1953, 16.46874999, 11.62
1956, 16.46874999, 11.65
1959, 16.46874999, 11.64
1962, 16.46874999, 11.64
1965, 16.46874999, 11.65
1968, 16.46874999, 11.65
1971, 16.46874999, 11.66
1974, 16.46874999, 11.64
1977, 16.46874999, 11.61
1980, 16.46874999, 11.59
1983, 16.46874999, 11.62
1985.995, 16.46874999, 11.67
1988.995, 16.46874999, 11.68
1992, 16.46874999, 11.67
1995, 27.44791666, 11.63
1998, 27.44791666, 11.62
2001, 27.44791666, 11.61
2004, 16.46874999, 11.63
2007, 16.46874999, 11.62
2010, 16.46874999, 11.63
2013, 16.46874999, 11.63
2016, 16.46874999, 11.62
2019, 27.44791666, 11.61
2022, 27.44791666, 11.61
2025, 16.46874999, 11.67
2028, 16.46874999, 11.58
2031, 16.46874999, 11.61
2034, 16.46874999, 11.66
2037, 16.46874999, 11.67
2040, 16.46874999, 11.67
2043, 16.46874999, 11.66
2045.995, 16.46874999, 11.62
2048.995, 16.46874999, 11.63
2052, 16.46874999, 11.65
2055, 16.46874999, 11.65
2058, 16.46874999, 11.74
2061, 16.46874999, 11.79
2064, 16.46874999, 11.8
2067, 16.46874999, 11.84
2070, 27.44791666, 11.79
2073, 16.46874999, 11.77
2076, 16.46874999, 11.85
