#1

double tab1(1661,2)
1685.995	20.5
1688.995	20.4
1692	20.35
1695	20.3
1698	20.19
1701	20.07
1704	20
1707	19.9
1710	19.92
1713	19.79
1716	19.74
1719	19.64
1722	19.54
1725	19.56
1728	19.4
1731	19.4
1734	19.41
1737	19.37
1740	19.31
1743	19.27
1745.995	19.15
1748.995	19.07
1752	19.01
1755	18.87
1758	18.82
1761	18.75
1764	18.58
1767	18.39
1770	18.21
1773	18.09
1776	17.75
1779	17.39
1782	16.91
1785	16.57
1788	16.08
1790.87	15.6
1794	15.25
1797	14.76
1800	14.43
1803	14.11
1805.995	13.76
1808.995	13.43
1812	13.16
1815	12.91
1818	12.59
1821	12.27
1824	12.06
1827	11.91
1830	11.66
1833	11.42
1836	11.22
1839	11.08
1842	10.91
1845	10.86
1848	10.72
1851	10.54
1854	10.37
1857	10.3
1860	10.23
1863	10.06
1865.995	10.01
1868.995	9.87
1872	9.72
1875	9.72
1878	9.53
1881	9.58
1884	9.43
1887	9.41
1890	9.35
1893	9.25
1896	9.25
1899	9.16
1902	9.08
1905	9.06
1908	9.06
1911	9.01
1914	8.91
1917	8.9
1920	8.87
1922.87	8.87
1925.87	8.91
1928.995	8.9
1932	8.78
1935	8.8
1938	8.81
1941	8.72
1944	8.67
1947	8.71
1950	8.76
1953	8.76
1956	8.74
1959	8.73
1962	8.73
1965	8.74
1968	8.74
1971	8.79
1974	8.6
1977	8.66
1980	8.68
1983	8.75
1985.995	8.68
1988.995	8.56
1992	8.64
1995	8.68
1998	8.75
2001	8.7
2004	8.68
2007	8.67
2010	8.68
2013	8.64
2016	8.63
2019	8.57
2022	8.57
2025	8.6
2028	8.58
2031	8.61
2034	8.63
2037	8.64
2040	8.72
2043	8.58
2045.995	8.63
2048.995	8.6
2052	8.66
2055	8.7
2058	8.75
2061	8.75
2064	8.77
2067	8.77
2070	8.75
2073	8.78
2076	8.82
2079	8.82
2082	8.89
2085	8.96
2088	8.92
2091	8.86
2093.87	8.93
2097	9.03
2100	9.12
2103	9.12
2105.995	9.1
2108.995	9.09
2112	9.17
2115	9.26
2118	9.27
2121	9.26
2124	9.22
2127	9.26
2130	9.23
2132.87	9.26
2136	9.22
2139	9.26
2141.87	9.26
2145	9.26
2148	9.26
2151	9.24
2154	9.24
2157	9.26
2160	9.26
2163	9.28
2165.87	9.27
2168.995	9.28
2171.87	9.24
2175	9.31
2178	9.28
2180.87	9.27
2184	9.28
2187	9.24
2190	9.28
2193	9.27
2196	9.23
2199	9.22
2202	9.24
2205	9.24
2208	9.23
2211	9.28
2214	9.24
2217	9.26
2220	9.24
2222.87	9.24
2225.995	9.27
2228.995	9.27
2232	9.27
2235	9.23
2238	9.24
2241	9.27
2244	9.27
2247	9.28
2250	9.26
2253	9.23
2255.87	9.26
