time	GasIn	Tout
553	59.35	293.78
554	0	293.77
556	0	293.78
557	59.35	293.78
558	0	293.78
559	0	293.78
560	0	293.78
561	0	293.78
562	0	293.77
563	0	293.78
564	0	293.79
565	0	293.78
566	0	293.79
567	0	293.77
568	0	293.79
569	0	293.78
570	0	293.79
571	0	293.78
572	0	293.78
573	121.04	293.78
574	0	293.77
575	0	293.78
576	0	293.77
577	244.42	293.77
578	59.35	293.78
580	0	293.78
581	0	293.77
582	0	293.78
583	0	293.78
584	0	293.76
585	0	293.78
586	0	293.78
587	367.8	293.76
588	0	293.78
589	0	293.77
590	0	293.76
591	0	293.78
592	0	293.77
593	59.35	293.75
594	0	293.75
595	0	293.76
596	0	293.76
597	0	293.76
598	0	293.76
599	0	293.76
600	0	293.75
601	0	293.75
602	0	293.76
603	0	293.75
605	0	293.75
606	0	293.75
607	0	293.74
608	0	293.75
609	0	293.75
610	121.04	293.74
611	429.49	293.75
612	0	293.75
613	0	293.75
614	0	293.73
615	59.35	293.74
616	0	293.73
617	0	293.74
618	0	293.74
619	0	293.74
620	0	293.75
621	0	293.74
622	0	293.73
623	0	293.72
624	0	293.72
625	0	293.73
626	0	293.72
627	0	293.71
629	0	293.7
630	0	293.71
631	59.35	293.72
632	0	293.7
633	0	293.71
634	0	293.71
635	0	293.71
636	0	293.69
637	0	293.71
638	0	293.72
639	0	293.69
640	0	293.71
641	0	293.7
642	0	293.7
643	0	293.7
644	0	293.7
645	182.73	293.7
646	59.35	293.69
647	0	293.7
648	0	293.7
649	0	293.7
650	0	293.68
651	0	293.69
652	0	293.69
654	0	293.69
655	0	293.7
656	0	293.68
657	0	293.69
658	0	293.68
659	0	293.68
660	0	293.68
661	0	293.68
662	0	293.68
663	0	293.68
664	0	293.69
665	0	293.68
666	0	293.69
667	0	293.68
668	0	293.67
669	0	293.68
672	0	293.68
674	0	293.68
675	0	293.68
676	59.35	293.69
679	947.7	293.68
680	8301.28	293.67
683	6660.3	293.68
686	5574.54	293.69
689	5253.74	293.77
692	6524.58	294.3
695	6721.99	295.55
698	6721.99	297.08
701	6524.58	298.97
705	6524.58	301.82
708	6721.99	304.56
711	6660.3	306.76
714	6660.3	308.19
717	6339.51	309.1
720	6721.99	309.79
723	6586.27	310.43
726	6080.4	310.82
730	6216.12	311.2
733	6080.4	311.43
736	5895.33	311.54
739	6142.09	311.38
742	6216.12	311.05
745	6277.82	310.8
748	6216.12	310.6
752	6142.09	310.46
755	6845.37	310.35
758	6660.3	310.25
761	6845.37	310.13
764	6845.37	310.12
767	7030.45	310.13
770	7030.45	310.15
773	6968.76	310.19
777	7104.48	310.17
780	7166.17	310.17
783	7227.86	310.18
786	7351.24	310.18
789	7227.86	310.19
792	7412.93	310.23
795	7351.24	310.21
798	7351.24	310.26
802	7351.24	310.26
805	7474.62	310.29
808	7857.11	310.29
811	7672.04	310.32
814	7351.24	310.34
817	7474.62	310.35
820	7474.62	310.43
823	7474.62	310.43
827	7548.65	310.47
828	7548.65	310.52
829	7548.65	310.58
830	7474.62	310.59
831	7474.62	310.61
832	7351.24	310.69
833	7351.24	310.7
834	7289.55	310.72
835	7548.65	310.75
836	7474.62	310.78
837	7474.62	310.8
838	7474.62	310.85
839	7548.65	310.88
840	7412.93	310.93
841	7289.55	310.94
842	7351.24	310.94
843	7412.93	310.94
844	7474.62	310.94
845	7474.62	310.93
846	7289.55	310.94
847	7548.65	310.9
848	7474.62	310.85
849	7412.93	310.85
851	7610.34	310.88
852	7474.62	310.9
853	7474.62	310.85
854	7918.8	310.87
855	7672.04	310.89
856	7918.8	310.92
857	7610.34	310.92
858	7474.62	310.96
859	7351.24	310.95
860	7672.04	310.97
861	7733.73	310.97
862	8239.59	310.98
863	7351.24	311.02
864	7351.24	311.02
865	7412.93	311.01
866	7548.65	311
867	7412.93	311.03
868	7412.93	310.99
869	7672.04	310.97
870	7351.24	310.95
871	7351.24	310.92
872	7474.62	310.83
873	7412.93	310.83
875	7351.24	310.77
876	7548.65	310.78
877	7610.34	310.76
878	7474.62	310.71
879	7795.42	310.73
880	7351.24	310.7
881	7610.34	310.67
882	7474.62	310.67
883	7733.73	310.62
884	7474.62	310.58
885	7610.34	310.56
886	7672.04	310.55
887	7672.04	310.49
888	7610.34	310.48
889	7857.11	310.5
890	7733.73	310.52
891	7857.11	310.47
892	7351.24	310.48
893	7857.11	310.44
894	7992.83	310.39
895	7992.83	310.41
896	7857.11	310.49
897	7795.42	310.43
