Time,pip.vol[46].T,ValidationData.y[9]
930.502,329.81,56.7778
939.536,329.814,56.7778
948.57,329.818,56.8017
957.604,329.821,56.8333
966.638,329.825,56.7979
975.672,329.828,56.7778
984.706,329.831,56.7778
993.74,329.834,56.7778
1002.77,329.836,56.7222
1011.81,329.838,56.7222
1020.84,329.84,56.7222
1029.88,329.842,56.7778
1038.91,329.843,56.7222
1047.94,329.844,56.7778
1056.98,329.845,56.7222
1066.01,329.846,56.7778
1075.05,329.846,56.7222
1084.08,329.846,56.7733
1093.11,329.845,56.7222
1102.15,329.845,56.7222
1111.18,329.843,56.7222
1120.22,329.842,56.7222
1129.25,329.84,56.7222
1138.28,329.838,56.7222
1147.32,329.835,56.7222
1156.35,329.832,56.7222
1165.39,329.829,56.7222
1174.42,329.825,56.7222
1183.45,329.821,56.7222
1192.49,329.816,56.7222
1201.52,329.811,56.7222
1210.56,329.805,56.7222
1219.59,329.799,56.745
1228.62,329.792,56.7569
1237.66,329.787,56.7412
1246.69,329.782,56.7393
1255.73,329.777,56.7222
1264.76,329.774,56.7222
1273.79,329.771,56.7222
1282.83,329.769,56.7222
1291.86,329.767,56.7222
1300.9,329.766,56.6724
1309.93,329.765,56.7183
1318.96,329.765,56.6687
1328,329.766,56.7222
1337.03,329.767,56.6684
1346.07,329.768,56.7222
1355.1,329.77,56.7222
1364.13,329.772,56.6667
1373.17,329.774,56.676
1382.2,329.777,56.6779
1391.24,329.78,56.7222
1400.27,329.783,56.7222
1409.3,329.787,56.6667
1418.34,329.79,56.6667
1427.37,329.794,56.7016
1436.41,329.799,56.7222
1445.44,329.803,56.6667
1454.47,329.807,56.6667
1463.51,329.811,56.7222
1472.54,329.816,56.7222
1481.58,329.82,56.6667
1490.61,329.825,56.6883
1499.64,329.829,56.6667
1508.68,329.834,56.7222
1517.71,329.838,56.7222
1526.75,329.842,56.7778
1535.78,329.845,56.8333
1544.81,329.848,56.8333
1553.85,329.85,56.8333
1562.88,329.852,56.7778
1571.92,329.855,56.7778
1580.95,329.857,56.7778
1589.98,329.858,56.7222
1599.02,329.86,56.7222
1608.05,329.861,56.7251
1617.09,329.862,56.773
1626.12,329.864,56.7778
1635.15,329.865,56.7778
1644.19,329.865,56.7222
1653.22,329.866,56.7778
1662.26,329.867,56.7778
1671.29,329.867,56.7778
1680.32,329.868,56.7778
1689.36,329.868,56.7778
1698.39,329.869,56.7778
1707.43,329.869,56.7778
1716.46,329.87,56.7778
1725.49,329.87,56.7778
1734.53,329.87,56.7778
1743.56,329.871,56.7778
1752.6,329.871,56.7778
1761.63,329.872,56.7778
1770.66,329.872,56.7591
1779.7,329.873,56.7778
1788.73,329.873,56.7778
1797.77,329.874,56.7778
1806.8,329.875,56.7778
1815.83,329.876,56.7778
1824.87,329.877,56.7778
1833.9,329.873,56.7723
1842.94,329.85,56.7222
1851.97,329.83,56.7778
1861,329.812,56.7778
1870.04,329.797,56.7243
1879.07,329.785,56.7262
1888.11,329.774,56.7222
1897.14,329.766,56.7222
1906.17,329.76,56.7222
1915.21,329.755,56.7222
1924.24,329.753,56.7222
1933.28,329.752,56.7222
1942.31,329.752,56.7222
1951.34,329.754,56.7222
1960.38,329.757,56.7222
1969.41,329.762,56.7222
1978.45,329.767,56.7222
1987.48,329.773,56.7222
1996.51,329.78,56.7222
2005.55,329.77,56.7222
2014.58,329.748,56.7222
2023.62,329.736,56.7778
2032.65,329.733,56.7222
2041.68,329.738,56.7602
2050.72,329.748,56.7778
2059.75,329.761,56.7778
2068.79,329.776,56.7897
2077.82,329.791,56.7778
2086.85,329.806,56.7778
2095.89,329.822,56.7778
2104.92,329.811,56.7778
2113.96,329.785,56.7778
2122.99,329.759,56.7778
2132.02,329.735,56.7778
2141.06,329.718,56.7778
2150.09,329.722,56.7778
2159.13,329.724,56.7778
2168.16,329.7,56.8244
2177.19,329.675,56.8333
2186.23,329.68,56.7778
2195.26,329.689,56.7778
2204.3,329.675,56.8333
2213.33,329.674,56.8333
2222.36,329.659,56.8131
2231.4,329.657,56.8333
2240.43,329.653,56.8333
2249.47,329.653,56.7778
2258.5,329.655,56.7778
2267.53,329.665,56.7778
2276.57,329.683,56.7778
2285.6,329.693,56.7778
2294.64,329.695,56.7778
2303.67,329.703,56.7778
2312.7,329.708,56.7778
2321.74,329.689,56.7778
2330.77,329.68,56.7778
2339.81,329.688,56.7778
2348.84,329.702,56.7778
2357.87,329.707,56.7778
2366.91,329.719,56.7778
2375.94,329.712,56.7778
2384.98,329.713,56.7778
2394.01,329.713,56.7778
2403.04,329.691,56.7778
2412.08,329.682,56.7778
2421.11,329.684,56.7778
2430.15,329.69,56.7778
2439.18,329.704,56.7678
2448.21,329.722,56.7778
2457.25,329.709,56.5973
2466.28,329.631,56.3889
2475.32,329.823,56.9796
2484.35,330.616,57.6861
2493.38,331.208,58.2222
2502.42,331.243,58.2454
2511.45,331.24,58.2778
2520.49,331.21,58.0841
2529.52,331.129,57.8333
2538.55,331.048,57.7222
2547.59,330.968,57.634
2556.62,330.887,57.5556
2565.66,330.806,57.4444
2574.69,330.726,57.3889
2583.72,330.645,57.3333
2592.76,330.565,57.2222
2601.79,330.485,57.1667
2610.83,330.405,57.0556
2619.86,330.326,57
2628.89,330.246,56.8889
2637.93,330.167,56.8333
2646.96,330.088,56.7778
2656,330.009,56.7222
2665.03,329.93,56.6111
2674.06,329.852,56.5
2683.1,329.773,56.4444
2692.13,329.695,56.3333
2701.17,329.617,56.3241
2710.2,329.539,56.2222
2719.23,329.461,56.1667
2728.27,329.384,56.0962
2737.3,329.306,56
2746.34,329.229,55.9444
2755.37,329.152,55.8683
2764.4,329.075,55.7778
2773.44,328.998,55.7222
2782.47,328.922,55.6111
2791.51,328.845,55.5556
2800.54,328.769,55.5
2809.57,328.693,55.4208
2818.61,328.617,55.3551
2827.64,328.541,55.2778
2836.68,328.465,55.2222
2845.71,328.39,55.1111
2854.74,328.315,55.0556
2863.78,328.24,55
2872.81,328.165,54.9444
2881.85,328.09,54.8333
2890.88,328.015,54.7778
2899.91,327.941,54.7222
2908.95,327.866,54.6667
2917.98,327.792,54.6111
2927.02,327.718,54.5
2936.05,327.644,54.4417
2945.08,327.571,54.3333
2954.12,327.497,54.2778
2963.15,327.424,54.2222
2972.19,327.35,54.1667
2981.22,327.277,54.0989
2990.25,327.204,54
2999.29,327.132,53.9444
3008.32,327.059,53.8889
3017.36,326.987,53.8136
3026.39,326.914,53.7561
3035.42,326.842,53.6667
3044.46,326.77,53.6111
3053.49,326.699,53.5556
3062.53,326.627,53.4708
3071.56,326.555,53.3889
3080.59,326.484,53.3333
3089.63,326.413,53.2429
3098.66,326.342,53.2222
3107.7,326.271,53.1111
3116.73,326.2,53.0706
3125.76,326.13,53.0131
3134.8,326.059,52.9444
3143.83,325.989,52.8889
3152.87,325.919,52.7852
3161.9,325.849,52.7222
3170.93,325.779,52.6667
3179.97,325.709,52.6111
3189,325.64,52.5
3198.04,325.57,52.498
3207.07,325.501,52.4406
3216.1,325.432,52.3333
3225.14,325.363,52.2778
3234.17,325.294,52.2127
3243.21,325.226,52.1667
3252.24,325.157,52.0556
3261.27,325.089,52.0403
3270.31,325.021,51.9829
3279.34,324.953,51.8889
3288.38,324.885,51.8333
3297.41,324.817,51.745
3306.44,324.749,51.6976
3315.48,324.682,51.6667
3324.51,324.615,51.5556
3333.55,324.547,51.5
3342.58,324.48,51.4444
3351.61,324.413,51.3548
3360.65,324.347,51.2973
3369.68,324.28,51.2222
3378.72,324.214,51.2222
3387.75,324.147,51.1111
3396.78,324.081,51.0556
3405.82,324.015,51
3414.85,323.949,50.9444
3423.89,323.883,50.8397
3432.92,323.818,50.8333
3441.95,323.752,50.7248
3450.99,323.687,50.6667
3460.02,323.622,50.6111
3469.06,323.557,50.5556
3478.09,323.492,50.5
3487.12,323.427,50.4444
