Time,realToInteger.u,realToInteger.y,pump.TStatSig,pump.RecircFlow,pump.CircFlow,pump.QElePum,pump.QPum
20.04,0.525122,1,1,0.12,0.12,50,50
20.16,0.599855,1,1,0.12,0.12,50,50
20.28,0.672321,1,1,0.12,0.12,50,50
20.4,0.740877,1,1,0.12,0.12,50,50
20.52,0.803965,1,1,0.12,0.12,50,50
20.64,0.860155,1,1,0.12,0.12,50,50
20.76,0.90817,1,1,0.12,0.12,50,50
20.88,0.946921,1,1,0.12,0.12,50,50
21,0.975528,1,1,0.12,0.12,50,50
21.12,0.993343,1,1,0.12,0.12,50,50
21.24,0.999961,1,1,0.12,0.12,50,50
21.36,0.995231,1,1,0.12,0.12,50,50
21.48,0.979261,1,1,0.12,0.12,50,50
21.6,0.952413,1,1,0.12,0.12,50,50
21.72,0.915298,1,1,0.12,0.12,50,50
21.84,0.868757,1,1,0.12,0.12,50,50
21.96,0.813846,1,1,0.12,0.12,50,50
22.08,0.751812,1,1,0.12,0.12,50,50
22.2,0.684062,1,1,0.12,0.12,50,50
22.32,0.612135,1,1,0.12,0.12,50,50
22.44,0.537663,1,1,0.12,0.12,50,50
22.5,0.5,1,1,0.12,0.12,50,50
22.5,0.5,0,0,0.12,0,50,0
22.56,0.462337,0,0,0.12,0,50,0
22.68,0.387865,0,0,0.12,0,50,0
22.8,0.315938,0,0,0.12,0,50,0
22.92,0.248188,0,0,0.12,0,50,0
23.04,0.186154,0,0,0.12,0,50,0
23.16,0.131243,0,0,0.12,0,50,0
23.28,0.0847021,0,0,0.12,0,50,0
23.4,0.0475865,0,0,0.12,0,50,0
23.52,0.0207391,0,0,0.12,0,50,0
23.64,0.00476929,0,0,0.12,0,50,0
23.76,3.94779e-005,0,0,0.12,0,50,0
23.88,0.00665703,0,0,0.12,0,50,0
24,0.0244717,0,0,0.12,0,50,0
24.12,0.0530793,0,0,0.12,0,50,0
24.24,0.0918304,0,0,0.12,0,50,0
24.36,0.139845,0,0,0.12,0,50,0
24.48,0.196035,0,0,0.12,0,50,0
24.6,0.259123,0,0,0.12,0,50,0
24.72,0.327679,0,0,0.12,0,50,0
24.84,0.400145,0,0,0.12,0,50,0
24.96,0.474878,0,0,0.12,0,50,0
25,0.5,0,0,0.12,0,50,0
25,0.5,1,1,0.12,0.12,50,50
25.08,0.550181,1,1,0.12,0.12,50,50
25.2,0.624345,1,1,0.12,0.12,50,50
25.32,0.695687,1,1,0.12,0.12,50,50
25.44,0.762587,1,1,0.12,0.12,50,50
25.56,0.823528,1,1,0.12,0.12,50,50
25.68,0.877126,1,1,0.12,0.12,50,50
25.8,0.922164,1,1,0.12,0.12,50,50
25.92,0.957621,1,1,0.12,0.12,50,50
26.04,0.982691,1,1,0.12,0.12,50,50
26.16,0.996806,1,1,0.12,0.12,50,50
26.28,0.999645,1,1,0.12,0.12,50,50
26.4,0.991144,1,1,0.12,0.12,50,50
26.52,0.971495,1,1,0.12,0.12,50,50
26.64,0.941146,1,1,0.12,0.12,50,50
26.76,0.900783,1,1,0.12,0.12,50,50
26.88,0.851325,1,1,0.12,0.12,50,50
27,0.793893,1,1,0.12,0.12,50,50
27.12,0.72979,1,1,0.12,0.12,50,50
27.24,0.660472,1,1,0.12,0.12,50,50
27.36,0.587512,1,1,0.12,0.12,50,50
27.48,0.512565,1,1,0.12,0.12,50,50
27.5,0.5,1,1,0.12,0.12,50,50
27.5,0.5,0,0,0.12,0,50,0
27.6,0.437333,0,0,0.12,0,50,0
27.72,0.363524,0,0,0.12,0,50,0
27.84,0.292812,0,0,0.12,0,50,0
27.96,0.226803,0,0,0.12,0,50,0
28.08,0.166994,0,0,0.12,0,50,0
28.2,0.114743,0,0,0.12,0,50,0
28.32,0.0712367,0,0,0.12,0,50,0
28.44,0.0374614,0,0,0.12,0,50,0
28.56,0.0141841,0,0,0.12,0,50,0
28.68,0.0019332,0,0,0.12,0,50,0
28.8,0.000986636,0,0,0.12,0,50,0
28.92,0.0113659,0,0,0.12,0,50,0
29.04,0.0328355,0,0,0.12,0,50,0
