Time,cirHeaTra1.TRec,cirHeaTra1.TWat[1],cirHeaTra1.mFloCir,cirHeaTra1.cirHeaTra[1],cirHeaTra1.c_p,cirHeaTra1.nSeg
370,51.8691,52,0.12,-8.2194,4184.78,8
372,51.6093,52,0.12,-24.5267,4184.78,8
374,51.3461,52,0.12,-41.0483,4184.78,8
376,51.0795,52,0.12,-57.7814,4184.78,8
378,50.8096,52,0.12,-74.7235,4184.78,8
380,50.5364,52,0.12,-91.8718,4184.78,8
382,50.26,52,0.12,-109.224,4184.78,8
384,49.9804,52,0.12,-126.776,4184.78,8
386,49.6976,52,0.12,-144.527,4184.78,8
388,49.4117,52,0.12,-162.473,4184.78,8
390,49.1227,52,0.12,-180.612,4184.78,8
392,48.8307,52,0.12,-198.94,4184.78,8
394,48.5358,52,0.12,-217.454,4184.78,8
396,48.2379,52,0.12,-236.153,4184.78,8
398,47.9371,52,0.12,-255.032,4184.78,8
400,47.6336,52,0.12,-274.089,4184.78,8
402,47.3272,52,0.12,-293.321,4184.78,8
404,47.0181,52,0.12,-312.724,4184.78,8
406,46.7063,52,0.12,-332.297,4184.78,8
408,46.3918,52,0.12,-352.034,4184.78,8
410,46.0748,52,0.12,-371.935,4184.78,8
412,45.7552,52,0.12,-391.994,4184.78,8
414,45.4332,52,0.12,-412.21,4184.78,8
416,45.1087,52,0.12,-432.579,4184.78,8
418,44.7818,52,0.12,-453.097,4184.78,8
420,44.4526,52,0.12,-473.762,4184.78,8
422,44.1211,52,0.12,-494.571,4184.78,8
424,43.7874,52,0.12,-515.519,4184.78,8
426,43.4515,52,0.12,-536.604,4184.78,8
428,43.1135,52,0.12,-557.822,4184.78,8
430,42.7734,52,0.12,-579.171,4184.78,8
432,42.4313,52,0.12,-600.646,4184.78,8
434,42.0872,52,0.12,-622.244,4184.78,8
436,41.7412,52,0.12,-643.962,4184.78,8
438,41.3934,52,0.12,-665.796,4184.78,8
440,41.0437,52,0.12,-687.743,4184.78,8
442,40.6924,52,0.12,-709.8,4184.78,8
444,40.3393,52,0.12,-731.963,4184.78,8
446,39.9846,52,0.12,-754.228,4184.78,8
448,39.6283,52,0.12,-776.592,4184.78,8
450,39.2705,52,0.12,-799.052,4184.78,8
452,38.9112,52,0.12,-821.603,4184.78,8
454,38.5506,52,0.12,-844.243,4184.78,8
456,38.1886,52,0.12,-866.968,4184.78,8
458,37.8252,52,0.12,-889.773,4184.78,8
460,37.4607,52,0.12,-912.657,4184.78,8
462,37.095,52,0.12,-935.614,4184.78,8
464,36.7281,52,0.12,-958.642,4184.78,8
466,36.3602,52,0.12,-981.736,4184.78,8
468,35.9913,52,0.12,-1004.89,4184.78,8
