Time	T_F,Entrance	T_F,Exit	T_Nodes	sum(dT_Nodes)
710.718	739.7431667	200.7237222	1299.6575	32.18694444
715.728	738.9027222	200.8482778	1299.750944	32.0935
720.732	737.4085556	200.9105	1299.968833	31.87561111
725.754	739.1206111	200.8793889	1300.778167	31.19072222
730.758	738.9338333	200.9105	1300.840444	31.12844444
735.768	739.214	201.0661667	1301.649722	30.31916667
740.772	738.9027222	201.0661667	1301.929833	30.03905556
745.788	737.1906667	201.2217778	1301.618667	30.47488889
750.798	736.1323333	201.0972778	1301.992167	30.35027778
755.802	735.3229444	201.035	1302.645944	29.6965
760.824	735.0116667	201.0972778	1303.361833	29.10505556
765.828	734.2334444	201.1906667	1304.9805	27.85994444
770.838	734.4513889	201.1906667	1304.7315	28.23361111
775.854	736.4436111	201.1906667	1306.163333	26.67711111
780.858	734.607	201.2217778	1305.260722	27.57972222
785.868	735.1672778	201.2217778	1305.229611	27.7355
790.878	736.3813889	200.9727778	1305.883278	27.08183333
795.894	737.5331111	201.035	1305.914333	27.05077778
800.898	736.5058889	201.0972778	1307.035056	25.93005556
805.908	735.8832222	201.2217778	1307.190667	26.02333333
810.924	736.5058889	201.2217778	1308.809333	24.28022222
815.934	736.2257222	201.2528889	1308.840444	24.37355556
820.956	735.2918333	201.2217778	1310.116778	23.34633333
825.462	737.5019444	201.0972778	1310.428	23.03511111
830.484	736.5992778	201.2217778	1310.428	23.284
835.488	736.1634444	201.5019444	1310.521389	23.43972222
840.498	735.7276111	201.5642222	1312.077778	22.00777778
845.502	735.4474444	201.5330556	1311.019389	23.06616667
850.524	736.2568333	201.6887222	1310.677056	23.28405556
855.576	736.5681111	201.5953333	1309.961111	24.12444444
860.658	736.5992778	201.6575556	1310.490222	23.59533333
865.71	736.288	201.4396667	1312.4825	21.72772222
870.75	735.821	201.5953333	1311.237333	23.09733333
875.778	736.6615	201.7198333	1311.143944	23.19072222
880.782	737.3152222	201.6887222	1312.077833	22.50594444
885.792	735.6342222	201.7198333	1312.358	22.22577778
890.796	736.3502222	201.6887222	1311.455222	23.12855556
895.818	736.8793889	201.8443333	1314.661444	19.92233333
900.822	734.358	201.8443333	1314.568111	20.14011111
905.832	734.2646111	201.7198333	1315.377389	19.57972222
910.848	735.0116667	201.5953333	1315.813222	19.26855556
915.858	736.7548889	201.7509444	1316.062278	19.0195
920.862	738.1245	201.8132222	1314.848278	20.2335
925.872	737.751	201.8755	1317.027278	18.0545
930.888	736.4436111	201.9377222	1317.961056	17.24516667
935.904	735.6653333	202.0311111	1315.688722	19.64194444
940.914	734.358	202.0622222	1315.719833	19.61083333
945.918	737.8755	202.2178889	1315.470889	19.98444444
950.934	736.537	202.0622222	1316.000056	19.45527778
955.944	736.3191111	201.9688333	1316.280111	19.42411111
960.492	736.9416667	201.9688333	1317.961111	17.99222222
965.496	737.8755	201.9377222	1319.7665	16.18683333
970.512	736.288	201.8755	1318.863778	17.08955556
975.522	737.0350556	201.8443333	1318.116722	17.83661111
980.526	737.9377778	201.8755	1319.579722	16.37361111
985.536	737.1595556	201.7509444	1320.389111	15.56422222
990.552	737.9377778	201.8755	1320.295667	15.78211111
995.562	738.8404444	201.9377222	1319.455222	16.74722222
1000.566	735.8832222	201.8443333	1318.957167	17.49416667
1005.582	735.9143889	202.0311111	1319.330722	17.24505556
1010.592	736.5058889	202.0933889	1320.357944	16.21783333
1015.596	738	202.1245	1321.354111	15.34633333
1020.606	739.3696667	202.2178889	1322.568111	14.13233333
1025.622	738.0933889	202.1867778	1323.688722	13.13616667
1030.632	737.6887222	201.9688333	1325.120667	11.70422222
1035.636	737.0350556	202.0622222	1325.182833	11.64205556
1040.652	694.8248889	200.6926111	1324.404667	12.42022222
1045.662	553.502	190.3268333	1324.5915	12.10894444
1050.666	475.9611111	182.0156111	1322.848278	13.85216667
1055.676	439.3541111	177.5642222	1322.786	14.03888889
1060.692	390.3268889	170.8093333	1323.221778	14.10111111
1065.702	351.1673333	164.8326667	1322.723722	14.84827778
1070.706	331.3696111	161.502	1323.066167	14.50583333
1075.722	302.4513889	156.3657778	1323.252944	14.06994444
1080.732	274.6226111	150.7003889	1323.470833	13.4785
1085.742	266.6226111	148.9260556	1323.159556	13.66533333
1090.746	245.1750556	144.3190556	1323.377389	13.9455
1095.762	230.2646111	140.6459444	1323.8755	13.6965
1100.772	222.1400556	138.6225556	1323.408556	14.16344444
1105.776	210.2801667	135.5097222	1323.346389	14.10116667
1110.792	200.0389444	131.9922222	1323.221778	14.10111111
1115.802	194.4357778	130.8715556	1323.284056	13.91438889
1120.812	185.7509444	127.5408333	1323.190667	13.75866667
1125.816	177.035	125.0817222	1323.346333	13.85211111
1130.832	172.8949444	123.5875556	1323.377444	14.07011111
1135.842	166.9493889	121.2528889	1323.595333	14.10111111
1140.846	162.1867778	119.0739444	1323.6265	14.31905556
1145.868	159.4475	117.8288333	1323.564167	14.25672222
1150.872	155.4630556	115.9611111	1323.626444	13.82111111
1155.882	150.9493889	113.6887222	1323.750944	13.69661111
1160.886	149.4863889	113.0038889	1323.782111	13.78988889
1165.902	145.4396667	110.9805556	1323.906556	13.91433333
1170.96	142.5136111	109.3929444	1323.937778	14.00777778
1175.49	140.8326667	108.428	1323.844389	13.9765
1180.494	138.2490556	106.9027222	1323.8755	13.94538889
1185.51	136.7548889	105.9688889	1323.751	13.94544444
1190.562	134.6381111	104.6615	1323.8755	13.82094444
1195.566	132.3968889	103.0116667	1323.844333	13.72766667
1200.582	130.0933889	101.7354444	1323.906611	13.66538889
