Time[1].y;tan.vol[1].T;tan.vol[2].T;tan.vol[3].T;tan.vol[4].T;tan.vol[5].T;tan.vol[6].T;tan.vol[7].T;tan.vol[8].T;tan.vol[9].T;tan.vol[10].T;tan.vol[11].T;tan.vol[12].T;tan.vol[13].T;tan.vol[14].T;tan.vol[15].T;tan.vol[16].T;tan.vol[17].T;tan.vol[18].T;tan.vol[19].T;tan.vol[20].T;onOffController.y
115.098;332.693;332.719;332.709;332.677;332.646;332.611;332.584;332.518;332.334;331.87;330.825;328.794;325.476;321.026;316.15;316.15;316.15;316.15;316.15;316.15;0
115.098;332.693;332.719;332.709;332.677;332.646;332.611;332.584;332.518;332.334;331.87;330.825;328.794;325.476;321.026;316.15;316.15;316.15;316.15;316.15;316.15;1
115.2;332.692;332.719;332.709;332.676;332.646;332.611;332.583;332.517;332.332;331.866;330.819;328.784;325.463;321.012;316.137;316.137;316.137;316.137;316.137;316.137;1
117.6;332.694;332.711;332.699;332.667;332.636;332.602;332.571;332.496;332.291;331.783;330.665;328.54;325.143;320.667;315.827;315.827;315.827;315.827;315.827;315.827;1
120;332.706;332.703;332.69;332.657;332.626;332.592;332.558;332.474;332.246;331.694;330.505;328.292;324.822;320.326;315.531;315.531;315.531;315.531;315.531;315.531;1
122.4;332.723;332.695;332.68;332.648;332.617;332.583;332.545;332.45;332.198;331.601;330.339;328.039;324.501;319.989;315.248;315.248;315.248;315.248;315.248;315.248;1
124.8;332.735;332.686;332.671;332.639;332.607;332.573;332.531;332.424;332.148;331.502;330.167;327.782;324.18;319.656;314.975;314.975;314.975;314.975;314.975;314.975;1
127.2;332.728;332.678;332.662;332.63;332.598;332.563;332.516;332.397;332.094;331.399;329.99;327.521;323.858;319.329;314.712;314.712;314.712;314.712;314.712;314.712;1
129.6;332.717;332.67;332.652;332.621;332.589;332.553;332.501;332.368;332.036;331.291;329.807;327.256;323.536;319.006;314.458;314.458;314.458;314.458;314.458;314.458;1
132;332.705;332.662;332.643;332.612;332.579;332.542;332.484;332.337;331.976;331.177;329.619;326.988;323.215;318.689;314.212;314.212;314.212;314.212;314.212;314.212;1
134.4;332.693;332.654;332.634;332.603;332.57;332.532;332.467;332.304;331.911;331.059;329.426;326.717;322.895;318.377;313.973;313.973;313.973;313.973;313.973;313.973;1
136.8;332.68;332.646;332.626;332.594;332.561;332.52;332.449;332.269;331.843;330.935;329.227;326.442;322.576;318.071;313.74;313.74;313.74;313.74;313.74;313.74;1
139.2;332.668;332.638;332.617;332.585;332.552;332.509;332.429;332.232;331.772;330.807;329.024;326.165;322.259;317.771;313.514;313.514;313.514;313.514;313.514;313.514;1
141.6;332.655;332.629;332.608;332.576;332.542;332.497;332.409;332.193;331.696;330.673;328.815;325.886;321.943;317.476;313.293;313.293;313.293;313.293;313.293;313.293;1
144;332.643;332.621;332.599;332.568;332.533;332.484;332.387;332.151;331.616;330.535;328.602;325.605;321.629;317.186;313.077;313.077;313.077;313.077;313.077;313.077;1
146.4;332.631;332.613;332.591;332.559;332.523;332.471;332.364;332.106;331.533;330.391;328.385;325.321;321.318;316.902;312.865;312.865;312.865;312.865;312.865;312.865;1
148.8;332.62;332.605;332.582;332.55;332.514;332.458;332.339;332.059;331.445;330.242;328.163;325.037;321.009;316.624;312.657;312.657;312.657;312.657;312.657;312.657;1
151.2;332.61;332.597;332.574;332.542;332.504;332.443;332.313;332.009;331.353;330.089;327.937;324.751;320.702;316.35;312.453;312.453;312.453;312.453;312.453;312.453;1
153.6;332.599;332.589;332.565;332.533;332.493;332.428;332.286;331.956;331.257;329.93;327.708;324.464;320.398;316.082;312.253;312.253;312.253;312.253;312.253;312.253;1
156;332.59;332.581;332.557;332.524;332.483;332.412;332.256;331.9;331.157;329.767;327.474;324.176;320.098;315.819;312.057;312.057;312.057;312.057;312.057;312.057;1
158.4;332.581;332.574;332.549;332.515;332.472;332.395;332.225;331.841;331.052;329.599;327.237;323.888;319.8;315.561;311.863;311.863;311.863;311.863;311.863;311.863;1
160.8;332.573;332.566;332.54;332.506;332.461;332.377;332.192;331.779;330.943;329.427;326.997;323.6;319.505;315.307;311.673;311.673;311.673;311.673;311.673;311.673;1
163.2;332.567;332.558;332.532;332.497;332.449;332.358;332.157;331.714;330.83;329.25;326.754;323.311;319.214;315.059;311.485;311.485;311.485;311.485;311.485;311.485;1
165.6;332.563;332.55;332.524;332.488;332.437;332.339;332.12;331.645;330.712;329.068;326.509;323.023;318.926;314.814;311.301;311.301;311.301;311.301;311.301;311.301;1
168;332.561;332.542;332.516;332.479;332.425;332.317;332.08;331.573;330.59;328.883;326.26;322.736;318.641;314.575;311.119;311.119;311.119;311.119;311.119;311.119;1
170.4;332.565;332.534;332.507;332.47;332.412;332.295;332.039;331.498;330.463;328.693;326.009;322.448;318.36;314.339;310.94;310.94;310.94;310.94;310.94;310.94;1
172.8;332.569;332.527;332.499;332.46;332.398;332.271;331.995;331.419;330.333;328.499;325.756;322.162;318.083;314.108;310.763;310.763;310.763;310.763;310.763;310.763;1
175.2;332.569;332.519;332.491;332.45;332.383;332.246;331.948;331.336;330.198;328.301;325.501;321.877;317.809;313.88;310.589;310.589;310.589;310.589;310.589;310.589;1
177.6;332.562;332.511;332.482;332.44;332.368;332.22;331.899;331.25;330.058;328.099;325.244;321.593;317.538;313.657;310.417;310.417;310.417;310.417;310.417;310.417;1
180;332.554;332.503;332.474;332.43;332.352;332.192;331.848;331.16;329.915;327.894;324.986;321.31;317.271;313.437;310.248;310.248;310.248;310.248;310.248;310.248;1
182.4;332.543;332.496;332.465;332.419;332.336;332.162;331.794;331.067;329.767;327.685;324.726;321.028;317.008;313.221;310.081;310.081;310.081;310.081;310.081;310.081;1
184.8;332.531;332.488;332.456;332.408;332.318;332.131;331.737;330.969;329.615;327.473;324.465;320.749;316.748;313.008;309.916;309.916;309.916;309.916;309.916;309.916;1
187.2;332.518;332.48;332.447;332.396;332.3;332.097;331.677;330.868;329.459;327.258;324.203;320.471;316.491;312.799;309.753;309.753;309.753;309.753;309.753;309.753;1
189.6;332.506;332.472;332.439;332.384;332.28;332.062;331.615;330.763;329.299;327.04;323.94;320.194;316.238;312.593;309.593;309.593;309.593;309.593;309.593;309.593;1
192;332.494;332.464;332.429;332.371;332.26;332.025;331.549;330.655;329.135;326.819;323.677;319.92;315.989;312.391;309.434;309.434;309.434;309.434;309.434;309.434;1
194.4;332.484;332.457;332.42;332.358;332.238;331.987;331.481;330.542;328.968;326.595;323.413;319.648;315.743;312.192;309.278;309.278;309.278;309.278;309.278;309.278;1
196.8;332.474;332.449;332.41;332.345;332.215;331.946;331.409;330.426;328.796;326.369;323.149;319.377;315.501;311.996;309.123;309.123;309.123;309.123;309.123;309.123;1
199.2;332.463;332.44;332.401;332.33;332.191;331.902;331.334;330.306;328.621;326.14;322.885;319.109;315.262;311.802;308.97;308.97;308.97;308.97;308.97;308.97;1
201.6;332.453;332.432;332.39;332.315;332.165;331.857;331.257;330.182;328.442;325.909;322.62;318.844;315.026;311.612;308.82;308.82;308.82;308.82;308.82;308.82;1
204;332.444;332.424;332.38;332.3;332.139;331.81;331.176;330.055;328.26;325.676;322.356;318.58;314.794;311.425;308.671;308.671;308.671;308.671;308.671;308.671;1
206.4;332.435;332.416;332.369;332.283;332.11;331.76;331.091;329.923;328.074;325.441;322.093;318.319;314.565;311.24;308.524;308.524;308.524;308.524;308.524;308.524;1
208.8;332.425;332.407;332.358;332.266;332.08;331.707;331.004;329.788;327.885;325.204;321.829;318.061;314.339;311.059;308.379;308.379;308.379;308.379;308.379;308.379;1
211.2;332.416;332.398;332.346;332.248;332.049;331.653;330.913;329.65;327.693;324.966;321.567;317.805;314.116;310.88;308.236;308.236;308.236;308.236;308.236;308.236;1
213.6;332.406;332.39;332.334;332.229;332.016;331.595;330.819;329.507;327.498;324.726;321.305;317.551;313.897;310.703;308.094;308.094;308.094;308.094;308.094;308.094;1
216;332.397;332.381;332.322;332.209;331.981;331.536;330.722;329.361;327.3;324.485;321.044;317.301;313.681;310.529;307.954;307.954;307.954;307.954;307.954;307.954;1
218.4;332.387;332.371;332.309;332.188;331.945;331.473;330.621;329.212;327.099;324.242;320.784;317.052;313.468;310.357;307.816;307.816;307.816;307.816;307.816;307.816;1
220.8;332.378;332.362;332.295;332.166;331.907;331.408;330.517;329.059;326.895;323.999;320.524;316.807;313.257;310.188;307.68;307.68;307.68;307.68;307.68;307.68;1
223.2;332.369;332.352;332.281;332.143;331.866;331.34;330.409;328.902;326.689;323.755;320.267;316.564;313.05;310.022;307.545;307.545;307.545;307.545;307.545;307.545;1
225.6;332.359;332.342;332.267;332.118;331.824;331.269;330.298;328.743;326.48;323.51;320.01;316.323;312.846;309.857;307.412;307.412;307.412;307.412;307.412;307.412;1
228;332.35;332.332;332.252;332.093;331.782;331.199;330.189;328.587;326.278;323.275;319.765;316.096;312.653;309.702;307.289;307.289;307.289;307.289;307.289;307.289;1
230.4;332.342;332.325;332.244;332.083;331.766;331.174;330.151;328.534;326.212;323.199;319.687;316.023;312.593;309.655;307.304;307.304;307.304;307.304;307.304;307.304;1
232.8;332.334;332.32;332.238;332.077;331.758;331.165;330.139;328.518;326.192;323.177;319.665;316.005;312.579;309.646;307.367;307.367;307.367;307.367;307.367;307.367;1
235.2;332.326;332.315;332.234;332.072;331.754;331.16;330.134;328.513;326.186;323.171;319.661;316.002;312.578;309.648;307.443;307.443;307.443;307.443;307.443;307.443;1
237.6;332.32;332.31;332.229;332.068;331.75;331.157;330.131;328.511;326.186;323.172;319.663;316.006;312.583;309.654;307.525;307.525;307.525;307.525;307.525;307.525;1
240;332.316;332.306;332.225;332.064;331.747;331.154;330.129;328.51;326.186;323.173;319.665;316.009;312.589;309.66;307.606;307.606;307.606;307.606;307.606;307.606;1
242.4;332.311;332.301;332.22;332.06;331.743;331.151;330.127;328.508;326.185;323.174;319.668;316.013;312.594;309.667;307.688;307.688;307.688;307.688;307.688;307.688;1
